Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
730;21101041815;"Journal of ASEAN Studies";journal;"23381361, 23381353";"Bina Nusantara University";Yes;No;0,241;Q3;8;16;40;841;45;36;1,33;52,56;33,33;0;8;Indonesia;Asiatic Region;"Bina Nusantara University";"2019-2024";"Cultural Studies (Q2); Geography, Planning and Development (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
731;21101060308;"Vestnik MGIMO-Universiteta";journal;"25419099, 20718160";"MGIMO University";Yes;Yes;0,241;Q3;6;54;173;1738;60;173;0,38;32,19;38,36;0;23;Russian Federation;Eastern Europe;"MGIMO University";"2019-2024";"Sociology and Political Science (Q3)";"Social Sciences"
732;19700173305;"Historia y Politica";journal;"15750361, 1989063X";"Center for Constitutional Studies";No;No;0,240;Q3;12;25;76;1235;34;72;0,39;49,40;28,00;0;5;Spain;Western Europe;"Center for Constitutional Studies";"1999, 2001, 2009-2024";"History (Q1); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
733;24762;"Human Rights Quarterly";journal;"1085794X, 02750392";"Johns Hopkins University Press";No;No;0,240;Q3;80;28;103;111;105;101;0,92;3,96;50,00;3;24;United States;Northern America;"Johns Hopkins University Press";"1981, 1990, 1992, 1994-2024";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
734;21100862232;"Intersections East European Journal of Society and Politics";journal;"2416089X";"Centre for Social Sciences of the Hungarian Academy of Sciences";Yes;No;0,240;Q3;17;48;108;1923;60;107;0,51;40,06;63,41;0;28;Hungary;Eastern Europe;"Centre for Social Sciences of the Hungarian Academy of Sciences";"2015-2024";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
735;5600153207;"Politica y Sociedad";journal;"11308001, 19883129";"Universidad Complutense Madrid";Yes;Yes;0,240;Q3;18;56;115;2708;72;111;0,53;48,36;54,02;41;26;Spain;Western Europe;"Universidad Complutense Madrid";"2011-2024";"Sociology and Political Science (Q3)";"Social Sciences"
736;21100228533;"Regional Science Inquiry";journal;"17917735, 17915961";"Hellenic Association of Regional Scientists";No;No;0,239;Q3;13;12;102;555;83;101;0,93;46,25;30,00;0;7;Greece;Western Europe;"Hellenic Association of Regional Scientists";"2012-2024";"Development (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
737;21100903424;"Critical Studies in Teaching and Learning";journal;"23107103";"University of the Western Cape";Yes;No;0,238;Q3;10;28;70;1113;55;61;0,60;39,75;62,50;0;11;South Africa;Africa;"University of the Western Cape";"2018-2024";"Education (Q3); Sociology and Political Science (Q3)";"Social Sciences"
738;20062;"Economie et Statistique";journal;"17775574, 03361454";"Institut National de la Statistique et des Etudes Economiques";No;No;0,238;Q3;17;26;62;935;43;58;0,18;35,96;35,80;8;15;France;Western Europe;"Institut National de la Statistique et des Etudes Economiques";"1977-1998, 2007-2024";"Economics and Econometrics (Q3); Sociology and Political Science (Q3); Statistics and Probability (Q4)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
739;21100846340;"Journal of Comparative Politics";journal;"13381385";"University of Ljubljana";Yes;No;0,238;Q3;8;12;29;489;29;29;1,22;40,75;37,50;0;7;Slovenia;Eastern Europe;"University of Ljubljana";"2017-2025";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
740;5700168391;"Journal of Global Ethics";journal;"17449626";"Routledge";No;No;0,238;Q3;29;27;90;1000;47;81;0,36;37,04;53,85;2;8;United States;Northern America;"Routledge";"2005-2025";"Philosophy (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
741;21081;"Contributions to Political Economy";journal;"14643588, 02775921";"Oxford University Press";No;No;0,237;Q3;22;10;15;434;11;15;0,90;43,40;0,00;0;1;United Kingdom;Western Europe;"Oxford University Press";"1982-2003, 2005-2024";"Economics and Econometrics (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
742;21100259507;"International Journal of Public Law and Policy";journal;"20447671, 20447663";"Inderscience";No;No;0,236;Q3;8;29;35;1292;35;34;1,08;44,55;42,70;0;19;Switzerland;Western Europe;"Inderscience";"2011-2017, 2019-2024";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
743;5600153131;"Social Analysis";journal;"15585727, 0155977X";"Berghahn Journals";Yes;Yes;0,236;Q3;36;26;98;1184;81;92;1,01;45,54;22,22;0;6;United Kingdom;Western Europe;"Berghahn Journals";"2002-2024";"Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
744;5600153133;"Sociedade e Estado";journal;"19805462, 01026992";"Universidade de Brasilia";Yes;Yes;0,236;Q3;21;42;118;1757;56;109;0,40;41,83;43,55;1;9;Brazil;Latin America;"Universidade de Brasilia";"2007-2024";"Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Social Sciences"
745;4100151521;"Studies in Law Politics and Society";book series;"10594337";"Emerald Group Publishing Ltd.";No;No;0,236;Q3;12;0;56;0;26;8;0,15;0,00;0,00;0;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2008, 2013-2021, 2023-2024";"Law (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
746;21100421902;"Iberoamerican Journal of Development Studies";journal;"22542035";"University of Zaragoza";Yes;Yes;0,235;Q3;10;25;64;1194;51;64;0,60;47,76;62,22;0;16;Spain;Western Europe;"University of Zaragoza";"2012-2024";"History (Q1); Law (Q2); Development (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
747;21100903414;"International Journal of Energy Production and Management";journal;"20563280, 20563272";"International Information and Engineering Technology Association";Yes;No;0,235;Q3;13;28;84;839;105;84;1,18;29,96;31,43;0;23;Canada;Northern America;"International Information and Engineering Technology Association";"2016-2024";"Energy Engineering and Power Technology (Q3); Sociology and Political Science (Q3); Global and Planetary Change (Q4); Renewable Energy, Sustainability and the Environment (Q4)";"Energy; Environmental Science; Social Sciences"
748;20067;"Irish Economic and Social History";journal;"03324893, 20504918";"SAGE Publications Inc.";No;No;0,235;Q3;7;8;22;0;11;19;0,40;0,00;12,50;0;3;United Kingdom;Western Europe;"SAGE Publications Inc.";"1975-1976, 1979, 1999-2024";"History (Q1); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
749;21100814520;"Latin American Policy";journal;"20417373, 20417365";"John Wiley and Sons Ltd";No;No;0,235;Q3;12;30;75;2026;58;65;0,68;67,53;41,46;3;15;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2025";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
750;5600156543;"Netherlands Quarterly of Human Rights";journal;"01693441";"Stichting Studie- en Informatiecentrum Mensenrechten";No;No;0,235;Q3;24;24;67;0;84;56;1,43;0,00;56,00;2;22;Netherlands;Western Europe;"Stichting Studie- en Informatiecentrum Mensenrechten";"2006-2024";"Law (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
751;14402;"Archives Europeennes de Sociologie";journal;"14740583, 00039756";"Cambridge University Press";No;No;0,234;Q3;47;12;45;936;35;45;0,79;78,00;31,58;0;9;United Kingdom;Western Europe;"Cambridge University Press";"1960-2024";"Sociology and Political Science (Q3)";"Social Sciences"
752;21100855754;"Australian Journal of Human Rights";journal;"2573573X, 1323238X";"Taylor and Francis Ltd.";No;No;0,234;Q3;19;27;99;0;81;91;0,77;0,00;66,67;0;24;Australia;Pacific Region;"Taylor and Francis Ltd.";"1994, 1996-2024";"History (Q1); Law (Q2); Philosophy (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
753;21101053580;"Journal of Psychosocial Studies";journal;"14786737";"Policy Press";No;No;0,233;Q3;6;18;63;516;29;56;0,38;28,67;69,57;0;2;United Kingdom;Western Europe;"Policy Press";"2019-2024";"Cultural Studies (Q2); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
754;21100927374;"Humanity: An International Journal of Human Rights, Humanitarianism, and Development";journal;"21514372, 21514364";"University of Pennsylvania Press";No;No;0,232;Q3;9;23;63;1275;52;52;0,72;55,43;34,78;1;7;United States;Northern America;"University of Pennsylvania Press";"2019-2024";"Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
755;5700162393;"India Review";journal;"14736489";"Routledge";No;No;0,232;Q3;17;25;78;212;66;77;0,90;8,48;40,00;1;1;United Kingdom;Western Europe;"Routledge";"2010-2024";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
756;5600153144;"Polis (Italy)";journal;"11209488";"Societa Editrice Il Mulino";No;No;0,232;Q3;15;5;128;377;55;124;0,40;75,40;72,73;0;4;Italy;Western Europe;"Societa Editrice Il Mulino";"1990, 1997, 2000-2008, 2010-2024";"Sociology and Political Science (Q3)";"Social Sciences"
757;23425;"Politicka Misao";journal;"18468721, 00323241";"Faculty of Political Sciences, University of Zagreb";Yes;No;0,232;Q3;11;34;88;2121;30;80;0,33;62,38;35,42;1;7;Croatia;Eastern Europe;"Faculty of Political Sciences, University of Zagreb";"1985, 2015-2024";"History (Q1); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
758;16000154770;"Tijdschrift voor Sociale en Economische Geschiedenis";journal;"15721701";"International Institute of Social History";Yes;Yes;0,232;Q3;15;18;50;721;14;49;0,21;40,06;50,00;3;1;Netherlands;Western Europe;"International Institute of Social History";"2004-2024";"History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
759;21100898604;"Vibrant Virtual Brazilian Anthropology";journal;"18094341";"Brazilian Anthropology Association";Yes;Yes;0,232;Q3;6;37;108;1249;42;101;0,40;33,76;50,00;0;13;Brazil;Latin America;"Brazilian Anthropology Association";"2018-2025";"Anthropology (Q2); Cultural Studies (Q2); Sociology and Political Science (Q3); Urban Studies (Q3)";"Social Sciences"
760;5700164339;"Lua Nova";journal;"01026445";"CEDEC";Yes;Yes;0,231;Q3;19;32;89;1292;34;87;0,49;40,38;30,00;1;11;Brazil;Latin America;"CEDEC";"2006-2024";"Sociology and Political Science (Q3)";"Social Sciences"
761;18800156723;"Asia-Pacific Social Science Review";journal;"01198386";"De la Salle University";No;No;0,230;Q3;12;48;220;2753;143;192;0,68;57,35;36,67;0;23;Philippines;Asiatic Region;"De la Salle University";"2009-2024";"History (Q1); Economics and Econometrics (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
762;145624;"Black Scholar";journal;"00064246";"Taylor and Francis Ltd.";No;No;0,230;Q3;23;23;89;0;52;60;0,41;0,00;76,47;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1969-2024";"Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
763;21100454915;"Cliodynamics";journal;"23737530";"University of California eScholarship Repository";Yes;Yes;0,230;Q3;11;2;17;122;11;16;0,67;61,00;0,00;0;0;United States;Northern America;"University of California eScholarship Repository";"2015-2024";"History (Q1); Cultural Studies (Q2); Sociology and Political Science (Q3); Modeling and Simulation (Q4)";"Arts and Humanities; Mathematics; Social Sciences"
764;19900192514;"Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide";journal;"17467594, 17467586";"Routledge";No;No;0,230;Q3;19;15;53;790;46;44;0,89;52,67;29,41;1;3;United Kingdom;Western Europe;"Routledge";"2010-2025";"Cultural Studies (Q2); Law (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
765;21100939681;"eJournal of eDemocracy and Open Government";journal;"20759517";"Department for E-Governance and Administration";Yes;Yes;0,230;Q3;22;20;47;1067;57;41;1,53;53,35;29,73;3;11;Austria;Western Europe;"Department for E-Governance and Administration";"2009-2024";"Sociology and Political Science (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
766;21100827151;"Foundation Review";journal;"19445660, 19445679";"Dorothy A. Johnson Center for Philanthropy, Grand Valley State University";No;No;0,230;Q3;16;25;108;458;22;93;0,23;18,32;71,67;1;14;United States;Northern America;"Dorothy A. Johnson Center for Philanthropy, Grand Valley State University";"2009-2013, 2015-2024";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
767;21101093350;"Kriminologie";journal;"26986779";"Universitat zu Koln";Yes;Yes;0,230;Q3;5;25;67;1092;28;60;0,45;43,68;40,00;0;8;Germany;Western Europe;"Universitat zu Koln";"2019-2024";"Cultural Studies (Q2); Law (Q2); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
768;14600154704;"Pacific Focus";journal;"12254657, 19765118";"Wiley-Blackwell";No;No;0,230;Q3;16;16;60;962;50;60;0,55;60,13;34,78;0;2;United States;Northern America;"Wiley-Blackwell";"1986-2024";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
769;21100827186;"Socialni Prace";journal;"1805885X, 12136204";"Association of Educators in Social Work";No;No;0,230;Q3;8;55;171;2011;64;142;0,30;36,56;73,74;0;17;Czech Republic;Eastern Europe;"Association of Educators in Social Work";"2017-2024";"Health (social science) (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Applied Psychology (Q4)";"Psychology; Social Sciences"
770;18217;"Acta Oeconomica";journal;"00016373, 15882659";"Akademiai Kiado ZRt.";No;No;0,230;-;21;35;120;1852;99;119;0,83;52,91;40,26;0;20;Hungary;Eastern Europe;"Akademiai Kiado ZRt.";"1995-2000, 2002-2024";"Economics and Econometrics (Q3)";"Economics, Econometrics and Finance"
771;22888;"Political Science";journal;"00323187, 20410611";"Taylor and Francis Ltd.";Yes;No;0,228;Q3;20;8;43;409;24;38;0,59;51,13;45,45;0;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1948-1949, 1951-1956, 1960, 1962-1965, 1967-1974, 1976-2025";"Sociology and Political Science (Q3)";"Social Sciences"
772;19300157038;"Journal of Australian Political Economy";journal;"01565826";"University of Sydney";No;No;0,227;Q3;19;13;70;652;78;59;1,14;50,15;38,46;0;3;Australia;Pacific Region;"University of Sydney";"2008-2025";"Economics and Econometrics (Q3); Sociology and Political Science (Q3)";"Economics, Econometrics and Finance; Social Sciences"
773;21101090838;"Revista Interdisciplinar da Mobilidade Humana";journal;"19808585, 22379843";"Scalabrini Migration Study Centers";Yes;Yes;0,227;Q3;8;45;131;1313;73;122;0,49;29,18;63,16;0;22;Italy;Western Europe;"Scalabrini Migration Study Centers";"2019-2024";"Demography (Q3); Geography, Planning and Development (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
774;21100982470;"Contemporary Levant";journal;"20581831, 2058184X";"Taylor and Francis Ltd.";No;No;0,226;Q3;11;14;45;580;36;35;0,54;41,43;62,50;0;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016-2025";"History (Q1); Cultural Studies (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
775;21100244213;"Mind and Matter";journal;"16118812, 20513003";"Imprint Academic";No;No;0,226;Q3;20;17;33;620;20;26;0,39;36,47;10,00;0;0;United Kingdom;Western Europe;"Imprint Academic";"2003-2024";"Philosophy (Q2); Sociology and Political Science (Q3); Neuroscience (miscellaneous) (Q4)";"Arts and Humanities; Neuroscience; Social Sciences"
776;15024;"Africa Today";journal;"15271978, 00019887";"Indiana University Press";No;No;0,225;Q3;40;25;78;1246;60;73;0,76;49,84;39,29;1;13;United States;Northern America;"Indiana University Press";"1981, 1984, 1993, 1996-2024";"Geography, Planning and Development (Q3); Sociology and Political Science (Q3)";"Social Sciences"
777;19400156803;"Journal of Human Security";journal;"18353800";"";Yes;Yes;0,225;Q3;9;13;38;783;31;34;0,68;60,23;42,86;1;6;United Kingdom;Western Europe;"";"2009-2011, 2013-2017, 2019-2024";"Law (Q2); Political Science and International Relations (Q3); Safety Research (Q3); Sociology and Political Science (Q3)";"Social Sciences"
